fid,pct_arbo,pct_mato,pct_herb,pct_suelo,pct_querc,pct_conif,pct_eu,pct_ofro,pct_culth,pct_cultl,pct_citri,pct_olivar,pct_vitis,pct_ofrut,pct_agua,pct_edif,pct_vial,pct_zverde,pct_zexver,os_cod_n4,os_des_n4,os_cod_n3,os_des_n3,os_cod_n2,os_des_n2,os_cod_n1,os_des_n1,cd_prov,Humedal,_N,_SIOSE,_COD_95,_Usos MUCV,_COD_NUEVO,USOS_CHERB,COD_CHERB,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,NOMBRE_HUM,COD_IHA,USOShum_ha
974073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,345,Balsa de riego o ganadera,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611001,51,BALSAS DE RIEGO Y GANADERAS,"345",Balsa de riego o ganadera,13,,,Masas de agua artificial,Zonas humedas,3,4,Charcones de Punta Entinas,IHA611001,0.249270
918360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,4,IHA611001,1,SIN ASIGNACIoN,"0",Sin asignacion,0,,,Sin asignacion,Urbano e infraestructuras,1,5,Charcones de Punta Entinas,IHA611001,0.045581
1066070,75,0,0,25,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,530,FormaciÃ³n arbolada: eucaliptos,530,Bosque de eucaliptos,42,Bosque,4,Forestal,4,IHA611018,61,FOR. ARBOL. DENSA: EUCALIPTOS,"530",Formacion arbolada: eucaliptos,21,,,Vegetación con eucaliptos,Cobertura vegetal y suelos,5,2,Salar de los Canos,IHA611018,0.262710
964867,0,30,0,0,0,0,0,0,0,0,0,0,0,0,10,15,45,0,0,113,AgrÃ­cola/ganadero,113,"Instalaciones agrÃ­cola, ganadera",12,Industrial,1,Artificial,4,IHA611007,22,OTRAS INFRAESTRUCTURAS TECNICAS,"141",Agricola/ganadero,19,,,Areas agrarias heterogeneas,Agrario,4,3,Albufera Nueva,IHA611008,0.395934
1473881,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,460,Frutales de cÃ¡scara,3011,Frutales no cÃ­tricos,23,Cultivos leÃ±osos,2,AgrÃ­cola,18,IHA614023,54,OTROS CULTIVOS LEÑOSOS EN SECANO,"419",Frutales de cascara,14,,,Leñoso secano,Agrario,4,3,Barranco del Agua,IHA614023,0.237786
1414282,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,405,Cultivo herbÃ¡ceo distinto de arroz,21,Cultivos herbÃ¡ceos,21,Cultivos herbÃ¡ceos,2,AgrÃ­cola,18,IHA614025,52,AREAS AGRICOLAS HOMOGENEAS,"-",Cultivo herbaceo distinto de arroz,18,Herbaceo regadio,18,Cultivos herbaceos,Agrario,4,3,Humedales de Baza,IHA614025,254.930680
957482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0,0,101,Casco,11,Urbano mixto,11,Urbano mixto,1,Artificial,4,IHA611018,2,TEJIDO URBANO,"111",Casco,1,,,Tejido urbano,Urbano e infraestructuras,1,5,Salar de los Canos,IHA611018,105.487168
1418763,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,405,Cultivo herbÃ¡ceo distinto de arroz,21,Cultivos herbÃ¡ceos,21,Cultivos herbÃ¡ceos,2,AgrÃ­cola,18,IHA614009,52,AREAS AGRICOLAS HOMOGENEAS,"-",Cultivo herbaceo distinto de arroz,18,Herbaceo secano,16,Cultivos herbaceos,Agrario,4,3,Saladar del Margen,IHA614009,112.434720
967992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0,122,Comercial y oficinas,3003,"Servicios, comercial y oficinas",11,Urbano mixto,1,Artificial,4,IHA611009,12,ZONAS INDUSTRIALES Y COMERCIALES,"121",Comercial y oficinas,2,,,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Salinas de Cabo de Gata,IHA611009,5.848201
1229736,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,Suelo desnudo,945,Suelo desnudo,47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611017,80,ROQUEDOS Y SUELO DESNUDO,"932",Suelo desnudo,23,,,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Ri­o Antas,IHA611017,22.429239
1242585,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,997,Otros cultivos leÃ±osos,3011,Frutales no cÃ­tricos,23,Cultivos leÃ±osos,2,AgrÃ­cola,4,IHA611004,58,OTROS CULTIVOS LEÑOSOS EN REGADIO,"997",Otros cultivos leñosos,15,,,Leñoso regadio,Agrario,4,3,Salinas de Cerrillos,IHA611004,0.257583
957570,0,0,95,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,332,Lagos y lagunas,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611008,49,LAGUNAS CONTINENTALES,"331",Lagos y lagunas,12,,,Lagos y lagunas,Zonas humedas,3,1,Albufera Nueva,IHA611008,37.075299
1285664,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9312,Dunas y arenales costeros,3018,"Playas, dunas, acantilados y arenales",47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611017,79,"PLAYAS, DUNAS Y ARENALES","931",Dunas y arenales costeros,22,,,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Salar de los Canos,IHA611018,15.149647
967592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,119,PolÃ­gono industrial ordenado,3002,Zonas industriales,12,Industrial,1,Artificial,4,IHA611010,10,ZONAS INDUSTRIALES Y COMERCIALES,"121",Poligono industrial ordenado,2,,,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Ribera de la Algaida,IHA611010,16.819527
1286047,0,5,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9312,Dunas y arenales costeros,3018,"Playas, dunas, acantilados y arenales",47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611009,79,"PLAYAS, DUNAS Y ARENALES","931",Dunas y arenales costeros,22,,,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Salinas de Cabo de Gata,IHA611009,169.892197
968581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,138,Instalaciones de fÃºtbol,3004,"Ocio, cultural y deportivo",11,Urbano mixto,1,Artificial,4,IHA611005,29,ZONAS VERDES Y ESPACIOS DE OCIO,"193",Instalaciones de futbol,6,,,Zonas verdes y espacios de ocio,Urbano e infraestructuras,1,3,Canada de las Norias,IHA611005,2.444832
970201,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,40,151,Zonas mineras,151,Zonas mineras,14,ExtracciÃ³n minera,1,Artificial,4,IHA611017,23,ZONAS MINERAS,"151",Zonas mineras,5,,,"Zonas mineras, escombreras o de vertido",Urbano e infraestructuras,1,5,Ri­o Antas,IHA611017,6.822409
