fid,COD_USO,DES_USO,Shape_Leng,Shape_Area,_N,_SIOSE,_COD_SIOSE,_Usos MUCV,_COD_NUEVO,AREA_POLIG,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,areaNAT_m2
26982,211,MARISMA MAREAL CON VEGETACION,489.167785104000018,12303.166580592369428,34,MARISMA CON VEGETACION,"210",Marisma con vegetacion,7,12303.167,Marisma,Zonas humedas,3,1,12303.167
26983,211,MARISMA MAREAL CON VEGETACION,6962.843976299999667,163704.523518074653111,34,MARISMA CON VEGETACION,"210",Marisma con vegetacion,7,163704.524,Marisma,Zonas humedas,3,1,163704.524
26984,211,MARISMA MAREAL CON VEGETACION,4011.295208989999992,80999.123988244566135,34,MARISMA CON VEGETACION,"210",Marisma con vegetacion,7,80999.124,Marisma,Zonas humedas,3,1,80999.124
27547,231,LAGUNAS LITORALES,2379.073978209999950,239537.116586066782475,84,Lagunas litorales,NA,Lagunas litorales,12,239537.117,Lagos y lagunas,Zonas humedas,3,1,239537.117
27548,231,LAGUNAS LITORALES,1727.235056349999923,75595.435801126062870,84,Lagunas litorales,NA,Lagunas litorales,12,75595.436,Lagos y lagunas,Zonas humedas,3,1,75595.436
32264,317,RIOS Y CAUCES NAT.:OTRAS FORM. RIPARIAS,7162.269626180000159,12235.235086010303348,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,12235.235,Vegetacion riparia,Zonas humedas,3,1,12235.235
341876,911,MATORRAL DENSO,331.228138531000013,5881.165394406765699,72,MATORRAL DENSO,"911",Matorral denso,20,5881.165,Vegetacion natural,Cobertura vegetal y suelos,5,1,5881.165
365189,915,MATORRAL DISPERSO CON PASTIZAL,451.861408206000021,11929.972046689887065,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,11929.972,Vegetacion natural,Cobertura vegetal y suelos,5,1,11929.972
366540,915,MATORRAL DISPERSO CON PASTIZAL,193960.002284999995027,146800.775336606660858,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,146800.775,Vegetacion natural,Cobertura vegetal y suelos,5,1,146800.775
399989,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,2150.994273010000143,80807.148025993403280,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,80807.148,Vegetacion natural,Cobertura vegetal y suelos,5,1,80807.148
400010,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,1214.175075160000006,5552.506896156119183,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,5552.507,Vegetacion natural,Cobertura vegetal y suelos,5,1,5552.507
434120,925,"PASTIZAL CON CLAROS (ROCA, SUELO)",889.585040458999970,36976.450631913729012,76,"PASTIZAL CON CLAROS (ROCA, SUELO)","925","Pastizal con claros (roca, suelo)",20,36976.451,Vegetacion natural,Cobertura vegetal y suelos,5,1,36976.451
434166,925,"PASTIZAL CON CLAROS (ROCA, SUELO)",905.337929139000039,26665.174282547086477,76,"PASTIZAL CON CLAROS (ROCA, SUELO)","925","Pastizal con claros (roca, suelo)",20,26665.174,Vegetacion natural,Cobertura vegetal y suelos,5,1,26665.174
441863,931,"PLAYAS, DUNAS Y ARENALES",15088.388141999999789,61919.681823689490557,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,61919.682,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,61919.682
400027,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,1021.096685950000051,17519.471590254455805,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,17519.472,Vegetacion natural,Cobertura vegetal y suelos,5,1,17519.472
27180,215,MARISMA NO MAREAL CON VEGETACION,4462.245274820000304,103458.192183951628977,36,MARISMA CON VEGETACION,"2151",Marisma no mareal con vegetacion,7,103458.192,Marisma,Zonas humedas,3,1,103458.192
27181,215,MARISMA NO MAREAL CON VEGETACION,3730.071175739999944,269805.557962115970440,36,MARISMA CON VEGETACION,"2151",Marisma no mareal con vegetacion,7,269805.558,Marisma,Zonas humedas,3,1,269805.558
27182,215,MARISMA NO MAREAL CON VEGETACION,10133.100187499998356,613399.055977524258196,36,MARISMA CON VEGETACION,"2151",Marisma no mareal con vegetacion,7,613399.056,Marisma,Zonas humedas,3,1,613399.056
