id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,ENP,CODIGO_UE1,NOM_ANEXO1,LEYENDA_1,CODIGO_UE2,LEYENDA_2,CODIGO_UE3,LEYENDA_3,CODIGO_UE4,LEYENDA_4,M_C_E_NAT,M_T_E_NAT,M_C_G_NAT,M_T_G_NAT,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI
19,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,11,Vegetacion riparia,3,Zonas humedas,1,11,Vegetacion ripar
37,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,11,Vegetacion riparia,3,Zonas humedas,1,11,Vegetacion ripar
40,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
55,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,3,Infraestructuras de comunicaciones,1,Urbano e infraestructuras,5,3,Infraestructuras
63,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2024,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas
2076,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas
1,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,11,Vegetacion riparia,3,Zonas humedas,1,11,Vegetacion ripar
2048,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,11,Vegetacion riparia,3,Zonas humedas,1,11,Vegetacion ripar
2065,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,11,Vegetacion riparia,3,Zonas humedas,1,11,Vegetacion ripar
