id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,ENP,CODIGO_UE1,NOM_ANEXO1,LEYENDA_1,CODIGO_UE2,LEYENDA_2,CODIGO_UE3,LEYENDA_3,CODIGO_UE4,LEYENDA_4,_COD_NUEVO,USOS_DEFIN,USOS_GENER,COD_GENERA
55,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
2024,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
2076,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
19,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,7,Marisma,Zonas humedas,3
37,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,7,Marisma,Zonas humedas,3
40,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,7,Marisma,Zonas humedas,3
63,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,7,Marisma,Zonas humedas,3
2048,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,7,Marisma,Zonas humedas,3
2065,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,7,Marisma,Zonas humedas,3
4,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
11,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
16,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
23,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
25,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
36,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
44,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
54,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
62,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
65,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
2038,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
2052,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
2057,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
2063,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
2066,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
2067,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
2071,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
2074,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,"1410",Pastizales salinos mediterraneos (Juncetalia maritimi),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,Zonas humedas,3
27,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,12,Lagos y lagunas,Zonas humedas,3
2062,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,12,Lagos y lagunas,Zonas humedas,3
2075,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,12,Lagos y lagunas,Zonas humedas,3
17,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,20,Vegetacion natural,Cobertura vegetal y suelos,5
2047,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
2054,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
6,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
