id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI
19,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,7,Marisma,3,Zonas humedas,1,11,Vegetacion riparia,3,Zonas humedas,1,,
37,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,7,Marisma,3,Zonas humedas,1,11,Vegetacion riparia,3,Zonas humedas,1,,
40,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,7,Marisma,3,Zonas humedas,1,17,Invernaderos,2,Agrario invernaderos,5,,
55,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,7,Marisma,3,Zonas humedas,1,3,Infraestructuras de comunicaciones,1,Urbano e infraestructuras,5,,
63,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,7,Marisma,3,Zonas humedas,1,17,Invernaderos,2,Agrario invernaderos,5,,
2024,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,7,Marisma,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,,
2076,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,7,Marisma,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,,
1,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,7,Marisma,3,Zonas humedas,1,11,Vegetacion riparia,3,Zonas humedas,1,,
2048,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,7,Marisma,3,Zonas humedas,1,11,Vegetacion riparia,3,Zonas humedas,1,,
2065,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,7,Marisma,3,Zonas humedas,1,11,Vegetacion riparia,3,Zonas humedas,1,,
4,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,,
11,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,,
16,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,,
23,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,,
