fid,pct_arbo,pct_mato,pct_herb,pct_suelo,pct_querc,pct_conif,pct_eu,pct_ofro,pct_culth,pct_cultl,pct_citri,pct_olivar,pct_vitis,pct_ofrut,pct_agua,pct_edif,pct_vial,pct_zverde,pct_zexver,os_cod_n4,os_des_n4,os_cod_n3,os_des_n3,os_cod_n2,os_des_n2,os_cod_n1,os_des_n1,cd_prov,Humedal,_N,_SIOSE,_COD_95,_Usos MUCV,_COD_NUEVO,USOS_CHERB,COD_CHERB,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,NOMBRE_HUM,COD_IHA,USOShum_ha,HUM_ha,BUF_ha
964867,0,30,0,0,0,0,0,0,0,0,0,0,0,0,10,15,45,0,0,113,AgrÃ­cola/ganadero,113,"Instalaciones agrÃ­cola, ganadera",12,Industrial,1,Artificial,4,IHA611007,22,OTRAS INFRAESTRUCTURAS TECNICAS,"141",Agricola/ganadero,19,,,Areas agrarias heterogeneas,Agrario,4,3,Albufera Nueva,IHA611008,0.395934,0.000000,0.395934
957570,0,0,95,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,332,Lagos y lagunas,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611008,49,LAGUNAS CONTINENTALES,"331",Lagos y lagunas,12,,,Lagos y lagunas,Zonas humedas,3,1,Albufera Nueva,IHA611008,37.075299,34.773864,2.301435
955983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,182,VÃ­a de comunicaciÃ³n no asfaltada,3005,Redes viarias y ferroviarias,15,Infraestructuras de transporte,1,Artificial,4,IHA611007,16,INFRAESTRUCTURAS DE COMUNICACIONES,"131",Via de comunicacion no asfaltada,3,,,Infraestructuras de comunicaciones,Urbano e infraestructuras,1,5,Albufera Honda,IHA611007,0.456653,0.000000,0.456653
1193346,0,10,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,Pastizal continuo,35,Pastizal,35,Pastizal,4,Forestal,4,IHA611007,75,PASTIZAL CONTINUO,"921",Pastizal continuo,20,,,Vegetacion natural,Cobertura vegetal y suelos,5,1,Albufera Honda,IHA611007,2.915832,0.000000,2.915832
976416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,345,Balsa de riego o ganadera,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611007,51,BALSAS DE RIEGO Y GANADERAS,"345",Balsa de riego o ganadera,13,,,Masas de agua artificial,Zonas humedas,3,4,Albufera Nueva,IHA611008,0.240395,0.000723,0.239672
1303034,0,10,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,RÃ­os y cauces nat: otras formas riparias,3022,RÃ­os y cauces con y sin vegetaciÃ³n asociada,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611007,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,,,Vegetacion riparia,Zonas humedas,3,1,Albufera Honda,IHA611007,0.559021,0.000000,0.559021
1200577,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,"Pastizal con claros (roca, suelo)",35,Pastizal,35,Pastizal,4,Forestal,4,IHA611007,76,"PASTIZAL CON CLAROS (ROCA, SUELO)","925","Pastizal con claros (roca, suelo)",20,,,Vegetacion natural,Cobertura vegetal y suelos,5,1,Albufera Nueva,IHA611008,15.812209,0.002798,15.809411
954055,0,55,15,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,997,Otros cultivos leÃ±osos,3011,Frutales no cÃ­tricos,23,Cultivos leÃ±osos,2,AgrÃ­cola,4,IHA611007,58,OTROS CULTIVOS LEÑOSOS EN REGADIO,"997",Otros cultivos leñosos,15,,,Leñoso regadio,Agrario,4,3,Albufera Honda,IHA611007,0.290710,0.000000,0.290710
973039,0,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,VegetaciÃ³n lagunar,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611007,44,VEGETACION RIPARIA,"331",Vegetacion lagunar,11,,,Vegetacion riparia,Zonas humedas,3,1,Albufera Nueva,IHA611008,20.984160,11.796169,9.187991
957774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,101,Casco,11,Urbano mixto,11,Urbano mixto,1,Artificial,4,IHA611007,2,TEJIDO URBANO,"111",Casco,1,,,Tejido urbano,Urbano e infraestructuras,1,5,Albufera Honda,IHA611007,1.083225,0.000000,1.083225
967898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,10,0,122,Comercial y oficinas,3003,"Servicios, comercial y oficinas",11,Urbano mixto,1,Artificial,4,IHA611007,12,ZONAS INDUSTRIALES Y COMERCIALES,"121",Comercial y oficinas,2,,,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Albufera Honda,IHA611007,1.712292,0.000000,1.712292
918465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,101,Casco,11,Urbano mixto,11,Urbano mixto,1,Artificial,4,IHA611007,2,TEJIDO URBANO,"111",Casco,1,,,Tejido urbano,Urbano e infraestructuras,1,5,Albufera Nueva,IHA611008,0.002147,0.000000,0.002147
1287737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,131,Red viaria,3005,Redes viarias y ferroviarias,15,Infraestructuras de transporte,1,Artificial,4,IHA611007,15,INFRAESTRUCTURAS DE COMUNICACIONES,"131",Red viaria,3,,,Infraestructuras de comunicaciones,Urbano e infraestructuras,1,5,Albufera Nueva,IHA611008,13.957025,0.063557,13.893468
990494,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,403,Invernadero de estructura permanente,22,Invernaderos,22,Invernaderos,2,AgrÃ­cola,4,IHA611008,55,CULTIVOS FORZADOS BAJO PLASTICO,"423",Invernadero de estructura permanente,17,,,Invernaderos,Agrario invernaderos,2,5,Albufera Nueva,IHA611008,115.899998,0.098710,115.801288
1224874,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,Suelo desnudo,945,Suelo desnudo,47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611008,80,ROQUEDOS Y SUELO DESNUDO,"932",Suelo desnudo,23,,,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Albufera Nueva,IHA611008,1.724088,0.042953,1.681135
990641,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,403,Invernadero de estructura permanente,22,Invernaderos,22,Invernaderos,2,AgrÃ­cola,4,IHA611007,55,CULTIVOS FORZADOS BAJO PLASTICO,"423",Invernadero de estructura permanente,17,,,Invernaderos,Agrario invernaderos,2,5,Albufera Honda,IHA611007,24.239210,0.000000,24.239210
