id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,ENP,CODIGO_UE1,NOM_ANEXO1,LEYENDA_1,CODIGO_UE2,LEYENDA_2,CODIGO_UE3,LEYENDA_3,CODIGO_UE4,LEYENDA_4,M_C_E_NAT,M_T_E_NAT,M_C_G_NAT,M_T_G_NAT,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI,hic_p_tn,hic_np_tn,HIC_1,HIC_2,hic_num_t,HIC_3,HIC_4,HIC_5,HIC_6
930,Ribera de la Algaida,,Costeros,IHA611010,Privada,Humedal,0,"5220",Matorrales arborescentes de Zyziphus,Habitat Prioritario UE,"2230",Habitat UE,"1430",Habitat UE,"2260",Habitat UE,,,,,18,Cultivos herbaceos,4,Agrario,3,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y",0,1,22600_25,,1,,,,
50,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"-1","-","-1","-","-1","-",,,,,17,Invernaderos,2,Agrario invernaderos,5,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,0,1,1430_65,,1,,,,
74,Barranco del Agua,,Interiores,IHA614023,"Publica, Privada",Buffer,0,"1520",Vegetacion gipsicola iberica (Gypsophiletalia),Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,2,0,62201_72,1520_38,2,,,,
84,Barranco del Agua,,Interiores,IHA614023,"Publica, Privada",Buffer,0,"1520",Vegetacion gipsicola iberica (Gypsophiletalia),Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,2,0,62201_72,1520_38,2,,,,
91,Barranco del Agua,,Interiores,IHA614023,"Publica, Privada",Buffer,0,"1520",Vegetacion gipsicola iberica (Gypsophiletalia),Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,2,0,62201_72,1520_38,2,,,,
118,Barranco del Agua,,Interiores,IHA614023,"Publica, Privada",Buffer,0,"1520",Vegetacion gipsicola iberica (Gypsophiletalia),Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,2,0,62201_72,1520_38,2,,,,
122,Barranco del Agua,,Interiores,IHA614023,"Publica, Privada",Buffer,0,"1520",Vegetacion gipsicola iberica (Gypsophiletalia),Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,2,0,62201_72,1520_38,2,,,,
48,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y",0,1,1210_60,,1,,,,
1463,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,0,1,14200_50,,1,,,,
522,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
