Year,LSWI
1999,0.031853533562051735
2000,0.03860196333733343
2001,0.045531626207928104
2002,0.04131927228872738
2003,0.04939201804675003
2004,0.04199355635938646
2005,0.03826578724636308
2006,0.03826287643112028
2007,0.03028885230621046
2008,0.03823256340055239
2009,0.03414562530259286
2010,0.033992126018149355
2011,0.03213122008687418
2012,0.03851414990403276
2013,0.026214361651944
2014,0.03653945228280702
2015,0.037534985504171
2016,0.035585342391448865
2017,0.04343987976508463
2018,0.0444067311850754
2019,0.03871523325425436
2020,0.04191288172796695
2021,0.03845527106896043
