Year,LSWI
1999,0.009297216864690497
2000,0.0033902665385029595
2001,0.0034448659534638227
2002,-0.0014571532814680382
2003,-0.0005209575592696309
2004,-0.015135925417265586
2005,-0.02193064719610962
2006,-0.01806548012948339
2007,-0.004372870110589109
2008,-0.02053531629832662
2009,-0.014710334707798194
2010,-0.0043830449320711555
2011,-0.011222187912290075
2012,-0.014639354737723917
2013,-0.00243525681216941
2014,-0.010244527630031766
2015,-0.008331343936105897
2016,-0.014155798320061282
2017,-0.004420057243854825
2018,-0.0005216482158125611
2019,0.009277669775556094
2020,0.010240352326582311
2021,-0.007373678135917581
