Year,LSWI
1999,0.024142461412283923
2000,0.02631095031856814
2001,0.030032932330374882
2002,0.028500961783020026
2003,0.030185454401154478
2004,0.024349259215327712
2005,0.02448802897138313
2006,0.026356283632457924
2007,0.024325015966473077
2008,0.02047697230742723
2009,0.026170644240568707
2010,0.022371813309184266
2011,0.022249254617112846
2012,0.022432418086535337
2013,0.024209600283796463
2014,0.02037017859964062
2015,0.024402246836421858
2016,0.022465818677832254
2017,0.030306660717213888
2018,0.02620773910733052
2019,0.03020354147990566
2020,0.02639975358909626
2021,0.026324422378797105
