Year,NDWI
1999,-0.13002011932223723
2000,-0.13865543556526827
2001,-0.10440216808047718
2002,-0.12021427401072061
2003,-0.12794384614622029
2004,-0.13866895257727305
2005,-0.1259803535485997
2006,-0.13098848948082548
2007,-0.1543756784317031
2008,-0.12702742344107998
2009,-0.14648537818995366
2010,-0.15826334470064188
2011,-0.1222035807249385
2012,-0.1357067702186637
2013,-0.15335771084144056
2014,-0.14742040260825354
2015,-0.1356020832244705
2016,-0.12396720143881275
2017,-0.1454667185440593
2018,-0.1426254543688696
2019,-0.15424907537182075
2020,-0.1533866124435573
2021,-0.1416707661363667
