Year,LSWI
1999,0.06594314343142894
2000,0.05327127144582454
2001,0.06490373582156538
2002,0.05332061305633924
2003,0.04740778248923248
2004,0.04333081525087639
2005,0.046334722999580844
2006,0.044537115011963314
2007,0.04826087097161272
2008,0.041500641935382304
2009,0.0513923997264633
2010,0.0336504186132711
2011,0.04448483133646747
2012,0.039514249582068714
2013,0.044384825422484536
2014,0.04534373917660287
2015,0.044479271115114585
2016,0.0434203098953579
2017,0.05222872157484437
2018,0.05317701943519319
2019,0.05616405745999285
2020,0.052266789805570375
2021,0.049348148435957515
