Year,LSWI
1999,0.05512892390328615
2000,0.059947861392095736
2001,0.07869633659720421
2002,0.06102635671544942
2003,0.07165669600168864
2004,0.012263703265284058
2005,0.029042665090398198
2006,0.048093609725069895
2007,0.027797638039503778
2008,0.043908265539163285
2009,0.04528806327531735
2010,0.07898232342928467
2011,0.06742332223397651
2012,0.053284764301924935
2013,0.05961264950169171
2014,0.05435211770236492
2015,0.057157182460039625
2016,0.05512047794953843
2017,0.06988969629281602
2018,0.07381039783358574
2019,0.06109190755196454
2020,0.05403172783873368
2021,0.05612544682692663
