Year,NDWI
1999,-0.12068575613655394
2000,-0.12561371326982224
2001,-0.1296355261544261
2002,-0.11487500292823258
2003,-0.11584744620916934
2004,-0.13792183049083725
2005,-0.13177064818895456
2006,-0.13792405058783472
2007,-0.1352603517840483
2008,-0.143287064254719
2009,-0.13968168149229754
2010,-0.1435076641124086
2011,-0.13531105859795478
2012,-0.13562941379805915
2013,-0.1212609610673207
2014,-0.13166061929391823
2015,-0.12156943320007715
2016,-0.12737682089209557
2017,-0.13547588206196612
2018,-0.1256740708707997
2019,-0.12455374491150659
2020,-0.13403089123911813
2021,-0.1320263408124447
