Year,LSWI
1999,0.028287988779416677
2000,0.0341538844772828
2001,0.05359812135072621
2002,0.05121491088178275
2003,0.06915098761418734
2004,0.04193924861306363
2005,0.03812191743418614
2006,0.039980128008934926
2007,0.03240123194463636
2008,0.03563726695476428
2009,0.04401095576075009
2010,0.03227016345092027
2011,0.049816963421467186
2012,0.057640086859063626
2013,0.051827911160789886
2014,0.05956722170005079
2015,0.06739932027016765
2016,0.051747144441391106
2017,0.06730640282102429
2018,0.05572271149580251
2019,0.05762788323060593
2020,0.05760590948217033
2021,0.05374392709742016
