Year,LSWI
1999,0.059922744830449425
2000,0.07542288292402372
2001,0.08435293287038803
2002,0.08578423783183098
2003,0.08636046532127592
2004,0.09698355225408638
2005,0.08117085495373097
2006,0.09610132701235784
2007,0.10398080887146366
2008,0.0951160731890647
2009,0.09436282263364874
2010,0.08552875589397459
2011,0.07837487757205963
2012,0.07260583961632715
2013,0.09168350696563721
2014,0.09605499119602363
2015,0.09736043629055091
2016,0.11159647213725989
2017,0.10123686492443085
2018,0.1009285810093085
2019,0.10076869156557784
2020,0.09489578753709793
2021,0.09594071507453919
