Year,NDVI
1999,0.0654124210325257
2000,0.07373770733727744
2001,0.06593401575398757
2002,0.06296739314709941
2003,0.07375377178185634
2004,0.07709410323427968
2005,0.06395671261774487
2006,0.06743053505036133
2007,0.08494778697845573
2008,0.06931435297786717
2009,0.07906249162704071
2010,0.09476578046510638
2011,0.08102333841895087
2012,0.06586792336248616
2013,0.08736006567210072
2014,0.07273650981905491
2015,0.06590804651954106
2016,0.05514710762889926
2017,0.06885433381647507
2018,0.07567681225466863
2019,0.08250982773661168
2020,0.08351379554991255
2021,0.0752013224513367
