Year,NDVI
1999,0.010751020914308318
2000,0.00881762363394117
2001,0.014654258969853517
2002,0.008739178835678334
2003,0.012658867176179896
2004,0.04006891149151565
2005,0.012752856965578695
2006,0.020448592352698875
2007,0.030277354797330798
2008,0.0028392095731473283
2009,0.02029791127146357
2010,0.02635015482652145
2011,-0.0009414388704398233
2012,0.016621123602846267
2013,0.02627544403349022
2014,0.01849516778137728
2015,0.014700571466143843
2016,0.016717691977304817
2017,0.01671144121179455
2018,0.008746512927348085
2019,0.008992361868249959
2020,0.016541094133260496
2021,0.026568595776748853
