Year,NDWI
1999,-0.09663419860280686
2000,-0.10263092848950893
2001,-0.11238030183949432
2002,-0.10250792044261116
2003,-0.12214794639192268
2004,-0.1125236383042565
2005,-0.11440505083493735
2006,-0.11234920202279565
2007,-0.10227268507361162
2008,-0.1141838333299435
2009,-0.12018842797085573
2010,-0.13178120591644882
2011,-0.11798289733750873
2012,-0.11437055428832991
2013,-0.11636190401650241
2014,-0.12384614780882372
2015,-0.12996472225155148
2016,-0.12203622034011788
2017,-0.12191793802556748
2018,-0.12414540819632637
2019,-0.11435134600098372
2020,-0.1122779731887711
2021,-0.10055066807382536
