Year,NDWI
1999,-0.08127465209831906
2000,-0.0841231606900692
2001,-0.07301591759033757
2002,-0.06318215058455545
2003,-0.09144023744846988
2004,-0.07704611878955002
2005,-0.0848871471966684
2006,-0.08442912927416506
2007,-0.09537837176543214
2008,-0.07927221580208513
2009,-0.0866282172714775
2010,-0.07981399432928474
2011,-0.06518735736608505
2012,-0.056250640457076145
2013,-0.06228920590211935
2014,-0.07677755199700957
2015,-0.0675468644980153
2016,-0.07907638546418061
2017,-0.06707410288007955
2018,-0.06769459777622643
2019,-0.06373184273003513
2020,-0.07145625577178052
2021,-0.06977971934753917
