"NOMBRE_HUM"	"MUCVA_C_ES"	"MUCVA_T_ES"	"SIOSE_C_ES"	"SIOSE_T_ES"	"n"
"1"	"Albufera Honda"	"17"	"Invernaderos"	"2"	"Zonas industriales y comerciales"	1
"2"	"Albufera Honda"	"17"	"Invernaderos"	"3"	"Infraestructuras de comunicaciones"	1
"3"	"Albufera Honda"	"17"	"Invernaderos"	"6"	"Zonas verdes y espacios de ocio"	1
"4"	"Albufera Honda"	"17"	"Invernaderos"	"17"	"Invernaderos"	13
"5"	"Albufera Honda"	"17"	"Invernaderos"	"20"	"Vegetacion natural"	1
"6"	"Albufera Honda"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	2
"7"	"Albufera Nueva"	"1"	"Tejido urbano"	"15"	"Lenoso regadio"	1
"8"	"Albufera Nueva"	"1"	"Tejido urbano"	"17"	"Invernaderos"	1
"9"	"Albufera Nueva"	"1"	"Tejido urbano"	"22"	"Playas, dunas y arenales"	2
"10"	"Albufera Nueva"	"7"	"Marisma"	"3"	"Infraestructuras de comunicaciones"	1
"11"	"Albufera Nueva"	"7"	"Marisma"	"11"	"Vegetacion riparia"	5
"12"	"Albufera Nueva"	"7"	"Marisma"	"12"	"Lagos y lagunas"	2
"13"	"Albufera Nueva"	"7"	"Marisma"	"17"	"Invernaderos"	2
"14"	"Albufera Nueva"	"9"	"Mares y oceanos"	"9"	"Mares y oceanos"	11
"15"	"Albufera Nueva"	"12"	"Lagos y lagunas"	"11"	"Vegetacion riparia"	1
"16"	"Albufera Nueva"	"12"	"Lagos y lagunas"	"12"	"Lagos y lagunas"	20
"17"	"Albufera Nueva"	"17"	"Invernaderos"	"3"	"Infraestructuras de comunicaciones"	4
"18"	"Albufera Nueva"	"17"	"Invernaderos"	"11"	"Vegetacion riparia"	3
"19"	"Albufera Nueva"	"17"	"Invernaderos"	"17"	"Invernaderos"	34
"20"	"Albufera Nueva"	"17"	"Invernaderos"	"20"	"Vegetacion natural"	2
"21"	"Albufera Nueva"	"17"	"Invernaderos"	"22"	"Playas, dunas y arenales"	4
"22"	"Albufera Nueva"	"20"	"Vegetacion natural"	"3"	"Infraestructuras de comunicaciones"	2
"23"	"Albufera Nueva"	"20"	"Vegetacion natural"	"11"	"Vegetacion riparia"	1
"24"	"Albufera Nueva"	"20"	"Vegetacion natural"	"13"	"Masas de agua artificial"	1
"25"	"Albufera Nueva"	"20"	"Vegetacion natural"	"17"	"Invernaderos"	3
"26"	"Albufera Nueva"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	4
